,display_name,name,start_date,end_date,type
000763.XSHE,锦州石化,JZSH,1997-09-15,2006-01-04,stock
000765.XSHE,*ST华信,*STHX,1997-11-03,2005-07-04,stock
000766.XSHE,通化金马,THJM,1997-04-30,2200-01-01,stock
000767.XSHE,漳泽电力,ZZDL,1997-06-09,2200-01-01,stock
000768.XSHE,中航飞机,ZHFJ,1997-06-26,2200-01-01,stock
000769.XSHE,*ST大菲,*STDF,1997-05-30,2005-09-21,stock
000776.XSHE,广发证券,GFZQ,1997-06-11,2200-01-01,stock
000777.XSHE,中核科技,ZHKJ,1997-07-10,2200-01-01,stock
000778.XSHE,新兴铸管,XXZG,1997-06-06,2200-01-01,stock
000779.XSHE,甘咨询,GZX,1997-05-28,2200-01-01,stock
000780.XSHE,平庄能源,PZNY,1997-06-06,2200-01-01,stock
000782.XSHE,美达股份,MDGF,1997-06-19,2200-01-01,stock
000783.XSHE,长江证券,CJZQ,1997-07-31,2200-01-01,stock
000785.XSHE,武汉中商,WHZS,1997-07-11,2200-01-01,stock
000786.XSHE,北新建材,BXJC,1997-06-06,2200-01-01,stock
000787.XSHE,*ST创智,*STCZ,1997-06-26,2013-02-08,stock
000788.XSHE,北大医药,BDYY,1997-06-16,2200-01-01,stock
000789.XSHE,万年青,WNQ,1997-09-23,2200-01-01,stock
000790.XSHE,泰合健康,THJK,1998-03-27,2200-01-01,stock
000791.XSHE,甘肃电投,GSDT,1997-10-14,2200-01-01,stock
000792.XSHE,*ST盐湖,*STYH,1997-09-04,2200-01-01,stock
000793.XSHE,华闻传媒,HWCM,1997-07-29,2200-01-01,stock
000795.XSHE,英洛华,YLH,1997-08-08,2200-01-01,stock
000796.XSHE,凯撒旅游,KSLY,1997-07-03,2200-01-01,stock
000797.XSHE,中国武夷,ZGWY,1997-07-15,2200-01-01,stock
000798.XSHE,中水渔业,ZSYY,1998-02-12,2200-01-01,stock
000799.XSHE,酒鬼酒,JGJ,1997-07-18,2200-01-01,stock
000800.XSHE,一汽轿车,YQJC,1997-06-18,2200-01-01,stock
000801.XSHE,四川九洲,SCJZ,1998-05-06,2200-01-01,stock
000802.XSHE,北京文化,BJWH,1998-01-08,2200-01-01,stock
000803.XSHE,金宇车城,JYCC,1998-03-03,2200-01-01,stock
000805.XSHE,*ST炎黄,*STYH,1998-05-29,2013-03-27,stock
000806.XSHE,ST银河,STYH,1998-04-16,2200-01-01,stock
000807.XSHE,云铝股份,YLGF,1998-04-08,2200-01-01,stock
000809.XSHE,铁岭新城,TLXC,1998-06-16,2200-01-01,stock
000810.XSHE,创维数字,CWSZ,1998-06-02,2200-01-01,stock
000811.XSHE,冰轮环境,BLHJ,1998-05-28,2200-01-01,stock
000812.XSHE,陕西金叶,SXJY,1998-06-23,2200-01-01,stock
000813.XSHE,德展健康,DZJK,1998-05-19,2200-01-01,stock
000815.XSHE,美利云,MLY,1998-06-09,2200-01-01,stock
000816.XSHE,ST慧业,STHY,1997-08-18,2200-01-01,stock
000817.XSHE,辽河油田,LHYT,1998-05-28,2006-01-04,stock
000818.XSHE,航锦科技,HJKJ,1997-10-17,2200-01-01,stock
000819.XSHE,岳阳兴长,YYXC,1997-06-25,2200-01-01,stock
000820.XSHE,*ST节能,*STJN,1998-06-30,2200-01-01,stock
000821.XSHE,京山轻机,JSQJ,1998-06-26,2200-01-01,stock
000822.XSHE,山东海化,SDHH,1998-07-03,2200-01-01,stock
000823.XSHE,超声电子,CSDZ,1997-10-08,2200-01-01,stock
000825.XSHE,太钢不锈,TGBX,1998-10-21,2200-01-01,stock
000826.XSHE,启迪环境,QDHJ,1998-02-25,2200-01-01,stock
000827.XSHE,*ST长兴,*STCX,1998-10-16,2005-09-21,stock
000828.XSHE,东莞控股,DGKG,1997-06-17,2200-01-01,stock
000829.XSHE,天音控股,TYKG,1997-12-02,2200-01-01,stock
000830.XSHE,鲁西化工,LXHG,1998-08-07,2200-01-01,stock
000831.XSHE,五矿稀土,WKXT,1998-09-11,2200-01-01,stock
000832.XSHE,*ST龙涤,*STLD,1998-08-25,2006-06-29,stock
000833.XSHE,粤桂股份,YGGF,1998-11-11,2200-01-01,stock
000835.XSHE,长城动漫,CCDM,1999-06-25,2200-01-01,stock
